data_year,utility_characteristics_facility_number,utility_characteristics_facility_name,utility_number,utility_name,state,ba_code,residential_revenues_thousand_dollars,residential_sales_megawatthours,residential_customers_count,commercial_revenues_thousand_dollars,commercial_sales_megawatthours,commercial_customers_count,industrial_revenues_thousand_dollars,industrial_sales_megawatthours,industrial_customers_count,transportation_revenues_thousand_dollars,transportation_sales_megawatthours,transportation_customers_count,total_revenues_thousand_dollars,total_sales_megawatthours,total_customers_count
2024,68327.0,CP East Hampton I & II Solar,56990.0,NJR Clean Energy Ventures Corporation,CT,ISNE,0.0,0.0,0.0,360.0,3317.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,3317.0,1.0
2024,52147.0,CP Kelco San Diego Plant,3221.0,CP Kelco US Inc.,CA,CISO,0.0,0.0,0.0,0.0,0.0,0.0,5.0,72.0,1.0,0.0,0.0,0.0,5.0,72.0,1.0
2024,59130.0,CSD 2 - Heritage High,65164.0,CleanCapital Holdings,CA,CISO,0.0,0.0,0.0,555.0,1892.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,1892.0,1.0
2024,59129.0,CSD 2- Freedom High,65164.0,CleanCapital Holdings,CA,CISO,0.0,0.0,0.0,408.0,1390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,1390.0,1.0
2024,56813.0,CSU Fresno Solar Project,56028.0,MMA Fresno Power LP,CA,CISO,0.0,0.0,0.0,298.0,1438.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,1438.0,1.0
2024,62028.0,CSU Long Beach Lots 7 & 14,61944.0,MN8 Energy LLC,CA,CISO,0.0,0.0,0.0,923.0,6878.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,6878.0,1.0
2024,58481.0,CSU Pueblo,65242.0,"Scale Sustainable I, LLC",CO,WACM,0.0,0.0,0.0,206.0,1781.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,1781.0,1.0
2024,67516.0,CSU Sacramento I,66238.0,BluePath Solar Sacramento I LLC,CA,BANC,0.0,0.0,0.0,234.0,2071.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,2071.0,1.0
2024,64401.0,CSU San Jose State University,63432.0,SkyHigh 2 Solar,CA,CISO,0.0,0.0,0.0,183.0,2128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,2128.0,1.0
2024,60979.0,CSUF Nutwood Solar,61944.0,MN8 Energy LLC,CA,CISO,0.0,0.0,0.0,388.0,3060.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,3060.0,1.0
2024,60978.0,CSUF State College,61944.0,MN8 Energy LLC,CA,CISO,0.0,0.0,0.0,201.0,1580.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1580.0,1.0
2024,58386.0,CU Solar Plant,58373.0,CU Solar LLC,OH,PJM,0.0,0.0,0.0,326.0,2160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,2160.0,1.0
2024,67296.0,CVEC Round 4 Brewster Captn Golf Course,66160.0,"Freemans Way Solar Project 2019, LLC",MA,ISNE,0.0,0.0,0.0,239.0,1104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,1104.0,1.0
2024,67179.0,Cabrillo College,62856.0,"Forefront Power, LLC",CA,CISO,0.0,0.0,0.0,451.0,4310.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,4310.0,1.0
2024,59283.0,California PV Energy at ISD WWTP,58540.0,California PV Energy LLC,CA,CISO,0.0,0.0,0.0,0.0,0.0,0.0,295.0,1966.0,1.0,0.0,0.0,0.0,295.0,1966.0,1.0
2024,64403.0,California State Univ at Channel Islands,63432.0,SkyHigh 2 Solar,CA,CISO,0.0,0.0,0.0,490.0,7754.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,7754.0,1.0
2024,55308.0,Calvert City,57295.0,DTE Calvert City LLC,KY,TVA,0.0,0.0,0.0,0.0,0.0,0.0,7418.0,129710.0,3.0,0.0,0.0,0.0,7418.0,129710.0,3.0
2024,50850.0,CamChino Leasing LLC,14265.0,CamChino Leasing LLC,CA,CISO,0.0,0.0,0.0,0.0,0.0,0.0,1453.0,11989.0,1.0,0.0,0.0,0.0,1453.0,11989.0,1.0
2024,61604.0,Camden CSD Solar Array,60571.0,"AEP Onsite Partners, LLC",NY,NYIS,0.0,0.0,0.0,211.0,1981.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,1981.0,1.0
2024,66089.0,Canal Road Solar,56990.0,NJR Clean Energy Ventures Corporation,NJ,PJM,0.0,0.0,0.0,320.0,6547.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,6547.0,1.0
2024,65705.0,Canoe Brook Solar,56990.0,NJR Clean Energy Ventures Corporation,NJ,PJM,0.0,0.0,0.0,620.0,10927.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,10927.0,1.0
2024,60685.0,Canyon Del Oro High School Solar,60404.0,"Luminace Solar Arizona 2, LLC",AZ,TEPC,0.0,0.0,0.0,245.0,2449.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,2449.0,1.0
2024,63016.0,Carolina Lily Solar,62872.0,"Carolina Lily Solar, LLC",NC,DUK,0.0,0.0,0.0,455.0,6942.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,6942.0,1.0
2024,59297.0,Carrier Clinic,59100.0,"Sunlight General Solar Fund II, LLC",NJ,PJM,0.0,0.0,0.0,175.0,1647.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1647.0,1.0
2024,67000.0,Cawelo Water District Solar,65913.0,"Scooby Solar, LLC",CA,CISO,0.0,0.0,0.0,560.0,6858.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,6858.0,1.0
2024,60353.0,Cecil County CCVT HS,60150.0,"SunE DB42, LLC",MD,PJM,0.0,0.0,0.0,256.0,3426.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,3426.0,1.0
2024,65623.0,Cedar Creek (NJ),60281.0,"Altus Power America Management, LLC",NJ,PJM,0.0,0.0,0.0,322.0,2230.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,2230.0,1.0
2024,63439.0,Central CA Fuel Cell 1,65297.0,Central CA Fuel Cell 1,CA,CISO,0.0,0.0,0.0,1460.0,17355.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.0,17355.0,1.0
2024,65233.0,Chambers 3 - Erie County Alden,61944.0,MN8 Energy LLC,NY,NYIS,0.0,0.0,0.0,262.0,2690.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,2690.0,1.0
