data_year,utility_number,utility_name,state,ba_code,reporting_year_incremental_annual_savings_energy_savings_mwh_residential,reporting_year_incremental_annual_savings_energy_savings_mwh_commercial,reporting_year_incremental_annual_savings_energy_savings_mwh_industrial,reporting_year_incremental_annual_savings_energy_savings_mwh_transportation,reporting_year_incremental_annual_savings_energy_savings_mwh_total,reporting_year_incremental_annual_savings_peak_demand_savings_mw_residential,reporting_year_incremental_annual_savings_peak_demand_savings_mw_commercial,reporting_year_incremental_annual_savings_peak_demand_savings_mw_industrial,reporting_year_incremental_annual_savings_peak_demand_savings_mw_transportation,reporting_year_incremental_annual_savings_peak_demand_savings_mw_total,incremental_life_cycle_savings_energy_savings_mwh_residential,incremental_life_cycle_savings_energy_savings_mwh_commercial,incremental_life_cycle_savings_energy_savings_mwh_industrial,incremental_life_cycle_savings_energy_savings_mwh_transportation,incremental_life_cycle_savings_energy_savings_mwh_total,incremental_life_cycle_savings_peak_demand_savings_mw_residential,incremental_life_cycle_savings_peak_demand_savings_mw_commercial,incremental_life_cycle_savings_peak_demand_savings_mw_industrial,incremental_life_cycle_savings_peak_demand_savings_mw_transportation,incremental_life_cycle_savings_peak_demand_savings_mw_total,reporting_year_incremental_cost_customer_incentives_thousand_dollars_residential,reporting_year_incremental_cost_customer_incentives_thousand_dollars_commercial,reporting_year_incremental_cost_customer_incentives_thousand_dollars_industrial,reporting_year_incremental_cost_customer_incentives_thousand_dollars_transportation,reporting_year_incremental_cost_customer_incentives_thousand_dollars_total,reporting_year_incremental_cost_all_other_costs_thousand_dollars_residential,reporting_year_incremental_cost_all_other_costs_thousand_dollars_commercial,reporting_year_incremental_cost_all_other_costs_thousand_dollars_industrial,reporting_year_incremental_cost_all_other_costs_thousand_dollars_transportation,reporting_year_incremental_cost_all_other_costs_thousand_dollars_total,incremental_life_cycle_costs_customer_incentives_thousand_dollars_residential,incremental_life_cycle_costs_customer_incentives_thousand_dollars_commercial,incremental_life_cycle_costs_customer_incentives_thousand_dollars_industrial,incremental_life_cycle_costs_customer_incentives_thousand_dollars_transportation,incremental_life_cycle_costs_customer_incentives_thousand_dollars_total,incremental_life_cycle_costs_all_other_costs_thousand_dollars_residential,incremental_life_cycle_costs_all_other_costs_thousand_dollars_commercial,incremental_life_cycle_costs_all_other_costs_thousand_dollars_industrial,incremental_life_cycle_costs_all_other_costs_thousand_dollars_transportation,incremental_life_cycle_costs_all_other_costs_thousand_dollars_total,weighted_average_life_years_residential,weighted_average_life_years_commercial,weighted_average_life_years_industrial,weighted_average_life_years_transportation,weighted_average_life_years_website
2024,6782.0,Freeborn Mower Electric Cooperative,MN,MISO,2434,1508,31,0,3973,0.299,0.014,0.001,0,0.314,34234,20836,434,0,55504,0.299,0.014,0.001,0,0.314,298.534,58.57,1.184,0,358.288,323.567,61.632,0,0,385.199,298.534,58.57,1.184,0,358.288,323.567,61.632,0,0,385.199,14.065,13.82,14,0,
2024,6784.0,French Broad Elec Member Corp,NC,CPLE,4871.71,278.35,,,5150.06,,,,,,21924,1253,,,23177,,,,,,90.93,22.98,,,113.91,,,,,,91.93,22.98,,,114.91,,,,,,8.33,12,,,
2024,6909.0,Gainesville Regional Utilities,FL,GVL,438,,,,438,0.075,,,,0.075,6570,,,,6570,0.075,,,,0.075,790.006,,,,790.006,,,,,,790.006,,,,790.006,,,,,,15,,,,
2024,7004.0,"Buckeye Power, Inc",OH,PJM,898,5029,,,5927,0.238,0.378,,,0.616,15731,35273,,,51004,0.238,0.378,,,0.616,427,85,,,512,0,0,,,0,427,85,,,512,0,0,,,0,18,7,,,
2024,7140.0,Georgia Power Co,GA,SOCO,117894.175,307767.892,,,425662.067,25.684,49.039,,,74.723,757590.175,4462035.89,,,5219626.065,12.798,94.838,,,107.636,17914.58,20218.064,,,38132.644,11932.271,14125.748,,,26058.019,208922.73,296895.911,,,505818.641,135926.892,204180.818,,,340107.71,6.999,11.917,,,
2024,7264.0,"Glades Electric Coop, Inc",FL,SEC,53.916,4.413,,,58.329,0,0,,,0,667.5,49.65,,,717.15,0,0,,,0,0,0,,,0,43.1,1.5,,,44.6,0,0,,,0,43.1,1.5,,,44.6,12,12,,,
2024,7292.0,Glencoe Light & Power Comm,MN,MISO,225,490,39,0,754,0.013,0.1,0.012,0,0.125,2251,4898,391,0,7540,0.013,0.1,0.012,0,0.125,11,12,1,0,24,18,39,3,0,60,11,12,1,0,24,18,39,3,0,60,10,10,10,0,
2024,7294.0,City of Glendale - (CA),CA,LDWP,8961,8098,,,17059,0.114,1.034,,,1.148,16156,97172,,,113328,0.114,1.034,,,1.148,96.361,0,,,96.361,819.162,4213.817,,,5032.979,96.361,0,,,96.361,819.162,4213.817,,,5032.979,1.739,12,,,
2024,7483.0,City of Grand Haven - (MI),MI,MISO,158.9,427,427,,1012.9,0.022,0.059,0.077,,0.158,1305.65,7264,7264,,15833.65,0.029,0.059,0.077,,0.165,41.14,21.71,21.71,,84.56,21.38,22.1,22.1,,65.58,41.14,21.71,21.71,,84.56,21.38,22.1,22.1,,65.58,8.22,8.505,8.505,,
2024,7548.0,PUD No 1 of Grays Harbor County,WA,BPAT,816.47,333.65,238.44,,1388.56,0.093,0.038,0.027,,0.158,16329.4,3670.15,2384.4,,22383.95,0.093,0.038,0.027,,0.158,1056.083,78.147,19.714,,1153.944,321,10.906,0.988,,332.894,1056.083,78.147,19.714,,1153.944,321,10.906,0.988,,332.894,20,11,10,,www.ghpud.org
2024,7563.0,Grand Valley Power,CO,PSCO,10.088,,,,10.088,0.003,,,,0.003,108,,,,108,0.002,,,,0.002,0,,,,0,2.43,,,,2.43,0,,,,0,2.43,,,,2.43,10,,,,
2024,7570.0,Great River Energy,MN,MISO,56610.733,30946.718,,,87557.451,16.048,3.869,,,19.917,701973.089,490196.013,,,1192169.102,16.048,3.869,,,19.917,3533.41,1339.23,,,4872.64,4827.391,1721.457,,,6548.848,3533.41,1339.23,,,4872.64,4827.391,1721.457,,,6548.848,12.4,15.84,,,
2024,7634.0,City of Greenville - (TX),TX,ERCO,2.7,,,,2.7,0.001,,,,0.001,2.7,,,,2.7,0.001,,,,0.001,1.974,,,,1.974,0,,,,0,1.974,,,,1.974,0,,,,0,1,,,,
2024,7716.0,Groton Dept of Utilities - (CT),CT,ISNE,233,446,0,0,679,0.04,0.03,0,0,0.07,3457,4553,0,0,8010,0.04,0.03,0,0,0.07,1001,479,0,0,1480,81,156,0,0,237,1001,479,0,0,1480,81,156,0,0,237,14.8,10.2,0,0,
2024,7785.0,"Gulf Coast Electric Coop, Inc",FL,SOCO,140.4,,,,140.4,1.082,,,,1.082,1404,,,,1404,1.082,,,,1.082,26.5,,,,26.5,28.7,,,,28.7,26.5,,,,26.5,28.7,,,,28.7,10,,,,
2024,8319.0,Heartland Power Coop,IA,MISO,679,161,1777,,2617,0.028,0.009,0.134,,0.171,9526,2241,20488,,32255,0.028,0.009,0.134,,0.171,33.913,1.924,25.415,,61.252,0.506,0.101,0.117,0.009,0.733,33.913,1.924,25.415,,61.252,0.506,0.101,0.117,0.009,0.733,14.029,13.92,11.529,0,
2024,8333.0,Haywood Electric Member Corp,NC,DUK,,,,,,,,,,,2280,,,,2280,2.3,,,,2.3,,,,,,,,,,,2.4,,,,2.4,,,,,,10,,,,
2024,8449.0,Henderson City Utility Comm,KY,MISO,19.5,0,0,,19.5,0.002,0,0,,0.002,390,0,0,,390,0.002,0,0,,0.002,2.4,0,0,,2.4,0,0,0,,0,5.4,0,0,,5.4,0,0,0,,0,19.24,,,,https://www.hmpl.com/programs.html
2024,8566.0,High Plains Power Inc,WY,WACM,48.08,52333.02,0,0,52381.1,0.01,0.12,0,0,0.13,720.67,627996.26,0,0,628716.93,0.01,0.12,0,0,0.13,6.682,32.27,0,0,38.952,0,0,0,0,0,6.682,32.27,0,0,38.952,0,0,0,0,0,15.03,12,0,0,
2024,8570.0,Highline Electric Assn,CO,WACM,656.73,190.75,161.61,,1009.09,0.072,0.044,0.1,,0.216,8617.57,2289.02,2778.98,,13685.57,0.073,0.044,0.089,,0.206,61.09,2.15,14.28,,77.52,,,,,,61.09,2.15,14.28,,77.52,,,,,,13.68,12,19.21,,
2024,8570.0,Highline Electric Assn,NE,WACM,93.67,,3.01,,96.68,0.008,,0.001,,0.009,1257.83,,60.2,,1318.03,0.011,,0.001,,0.012,6.96,,2.3,,9.26,,,,,,6.96,,2.3,,9.26,,,,,,13.54,,20,,
2024,8620.0,"HILCO Electric Cooperative, Inc.",TX,ERCO,465,,,,465,0.119,,,,0.119,465,,,,465,0.119,,,,0.119,46,,,,46,,,,,,46,,,,46,,,,,,1,,,,
2024,8699.0,Inland Power & Light Company,ID,BPAT,11.708,97.182,,,108.89,0.005,0.005,,,0.01,132.828,194.364,,,327.192,0.005,0.005,,,0.01,0.265,5.103,,,5.368,0,0,,,0,0.265,5.103,,,5.368,0,0,,,0,6.485,2,,,
2024,8699.0,Inland Power & Light Company,WA,BPAT,527.738,486.984,1507.054,,2521.776,0.243,0.001,0.078,,0.322,9645.127,573.047,3550.301,,13768.475,0.243,0.001,0.078,,0.322,44.561,80.33,72.357,,197.248,0,0,0,,0,44.561,80.33,72.357,,197.248,0,0,0,,0,10.6,2.916,2.04,,
2024,8723.0,City of Holland,MI,MISO,6281,2733,9161,,18175,0.7,0.6,2.2,,3.5,43967,34291,114800,,193058,0.7,0.6,2.2,,3.5,229.515,273.717,916.359,,1419.591,315.9,315.9,315.9,,947.7,299.515,273.717,916.359,,1489.591,315.9,315.9,315.9,,947.7,7,15,14,,
2024,8773.0,"Holy Cross Electric Assn, Inc",CO,PSCO,2916,2390,,,5306,1.496,0.913,,,2.409,28810,27580,,,56390,1.496,0.913,,,2.409,936.823,154.459,,,1091.282,138.881,22.609,,,161.49,936.823,154.459,,,1091.282,138.881,22.609,,,161.49,9.88,11.54,,,
2024,8774.0,City of Holyoke - (MA),MA,ISNE,64.584,6.598,0,0,71.182,0.06,0.08,0,0,0.14,2525,975,0,0,3500,0.06,0.036,0,0,0.096,104.871,1,0,0,105.871,491.184,196.688,0,0,687.872,129.894,0,0,0,129.894,376.38,599.78,0,0,976.16,25,25,25,25,
2024,8901.0,CenterPoint Energy,TX,ERCO,119454.037,109058.004,0,0,228512.041,42.116,27.212,0,0,69.328,1709624.07,1648281.4,0,0,3357905.47,42.116,27.212,0,0,69.328,21157.17,14374.53,0,0,35531.7,1765.07,1496.91,0,0,3261.98,21157.17,14374.53,0,0,35531.7,1765.07,1496.91,0,0,3261.98,14.312,15.114,0,0,https://interchange.puc.texas.gov/search/documents/?controlNumber=57468&itemNumber=9 
2024,9187.0,City of Idaho Falls - (ID),ID,PACE,97,3584,1062,0,4743,0.018,0.655,0.194,0,0.867,1635,43632,10049,0,55316,0.018,0.655,0.194,0,0.867,108,800,122,0,1030,0,0,0,0,0,108,800,122,0,1030,0,0,0,0,0,16.78,12.18,9.46,0,
2024,9191.0,Idaho Power Co,ID,IPCO,35547,31531,72469,0,139547,4.1,3.6,8.3,0,16,142189,409899,1014568,0,1566656,4.1,3.6,8.3,0,16,489,5843,7725,0,14057,5625,2906,6724,0,15255,489,5843,7725,0,14057,5625,2906,6724,0,15255,4,13,14,0,
2024,9191.0,Idaho Power Co,OR,IPCO,435,272,3345,0,4052,0.05,0.031,0.4,0,0.481,1741,3532,46831,0,52104,0.05,0.031,0.4,0,0.481,19,32,457,0,508,148,101,273,0,522,19,32,457,0,508,148,101,273,0,522,5,13,14,0,
2024,9216.0,Imperial Irrigation District,CA,IID,7311,13026,,,20337,5.3,0.8,,,6.1,64171,258680,,,322851,5.3,0.8,,,6.1,1900,1148,,,3048,3611,1146,,,4757,1900,1148,,,3048,3611,1146,,,4757,14.837,19.789,,,
2024,9231.0,City of Independence - (MO),MO,SWPP,351,,,,351,0.361,,,,0.361,4824.1,,,,4824.1,0.315,,,,0.315,50.055,73.807,,,123.862,2,,,,2,50.055,73.807,,,123.862,2,,,,2,15.651,,,,
2024,9234.0,Indiana Municipal Power Agency,IN,MISO,17,27,,,44,0.006,0.026,,,0.032,85,135,,,220,0.006,0.026,,,0.032,1.3,6.4,,,7.7,0,0,,,0,1.3,6.4,,,7.7,0,0,,,0,5,5,,,
2024,9267.0,"Hoosier Energy R E C, Inc",IN,MISO,2942,3431,,,6373,0.74,0.33,,,1.07,52249,49566,,,101815,0.74,0.33,,,1.07,901.993,378.03,,,1280.023,,,,,,901.993,378.03,,,1280.023,,,,,,17.76,14.446,,,
2024,9273.0,AES Indiana,IN,MISO,52472,107477,,,159949,47.43,23.56,,,70.99,320079,1296173,,,1616252,47.43,23.56,,,70.99,2765.514,14763.258,,,17528.772,10870.024,7599.436,,,18469.46,2765.514,14763.258,,,17528.772,10870.024,7599.436,,,18469.46,6.1,12.06,,,
2024,9286.0,Illinois Municipal Elec Agency,IL,MISO,666.25,,4340.44,,5006.69,0.15,,0.75,,0.9,2665,,17361.76,,20026.76,0.15,,0.75,,0.9,162.63,,941.99,,1104.62,5,,41,,46,162.63,,941.99,,1104.62,5,,41,,46,4,,4,,
2024,9324.0,Indiana Michigan Power Co,IN,PJM,17650,76252,,,93902,10.1,42.6,,,52.7,228900,736953,,,965853,10.1,42.6,,,52.7,691,3400,,,4091,2564,3358,,,5922,691,3400,,,4091,2564,3358,,,5922,13,9.7,,,
2024,9324.0,Indiana Michigan Power Co,MI,PJM,5525.939,26356.836,1187.929,,33070.704,3.266,4.734,0.268,,8.268,88292.728,161291.296,3179.929,,252763.953,3.266,4.734,0.268,,8.268,532.693,1564,70.5,,2167.193,1165.154,1384,61,,2610.154,532.693,1564,71,,2167.693,1165.154,1384,61,,2610.154,16,6.1,2.7,,
2024,9417.0,Interstate Power and Light Co,IA,MISO,23113.58,59204.36,36355.15,,118673.09,1.076,11.625,6.982,,19.683,89973.14,721809.303,303322.698,,1115105.141,1.076,11.625,6.982,,19.683,1195.685,7377.634,5618.1,,14191.419,3887.178,4076.107,919.285,,8882.57,1195.685,7377.634,5618.1,,14191.419,3887.178,4076.107,919.285,,8882.57,3.893,12.192,8.343,,https://efs.iowa.gov/efs/ShowDocumentSearch.do?searchType=document
2024,9576.0,Jackson County Rural E M C - (IN),IN,MISO,372.989,435.105,,,808.094,0.09,0,,,0.09,3729.89,4351.05,,,8080.94,0.09,0,,,0.09,76,50,,,126,88,52,,,140,76,50,,,126,88,52,,,140,10,10,,,
2024,9601.0,Jackson Electric Member Corp - (GA),GA,SOCO,1750,865,180,,2795,0.445,0.209,0.031,,0.685,15272,4255,909,,20436,0.541,0.225,0.037,,0.803,2013,0.929,1.135,,2015.064,430,0,0,,430,2013,0.929,1.135,,2015.064,430,0,0,,430,9.59,5,5,,www.jacksonemc.com/savenow
2024,9617.0,JEA,FL,JEA,21373,11019,,,32392,5.25,2.13,,,7.38,151689,116638,,,268327,3.73,1.05,,,4.78,873.099,422.077,,,1295.176,1454.428,476.238,,,1930.666,873.099,422.077,,,1295.176,1454.428,476.238,,,1930.666,7.1,10.59,,,
2024,9699.0,"Jemez Mountains Elec Coop, Inc",NM,WALC,185.7,,,,185.7,0.03,,,,0.03,2767.32,,,,2767.32,0.03,,,,0.03,29.638,,,,29.638,,,,,,29.638,,,,29.638,,,,,,14.58,,,,
2024,9726.0,Jersey Central Power & Lt Co,NJ,PJM,41308.73,113466.119,4727.755,0,159502.604,7.637,19.783,0.824,0,28.244,217024.873,1543719.191,64321.633,0,1825065.697,7.637,19.783,0.824,0,28.244,13578.594,95186.44,3966.102,0,112731.136,16574.49,9039.589,376.65,0,25990.729,13578.594,95186.44,3966.102,0,112731.136,16574.49,9039.589,376.65,0,25990.729,5.254,13.605,13.605,0,https://www.njcleanenergy.com/cp
2024,9750.0,"Jo-Carroll Energy, Inc",IL,MISO,341,343,,,684,0.032,0.051,,,0.083,4709,6054,,,10763,0.032,0.051,,,0.083,63.202,4.989,,,68.191,,,,,,63.202,4.989,,,68.191,,,,,,13.81,17.648,,,
2024,9778.0,Johnson County Rural E M C,IN,MISO,100,,831,,931,0.02,,0.96,,0.98,1800,,12465,,14265,0.02,,0.96,,0.98,62.835,,107.681,,170.516,,,,,,62.835,,107.681,,170.516,,,,,,18,,15,,
2024,9996.0,City of Kansas City - (KS),KS,SWPP,55.8,0,0,0,55.8,0.16,0,0,0,0.16,558,0,0,0,558,0.11,0,0,0,0.11,43.524,0,0,0,43.524,0,0,0,0,0,43.524,0,0,0,43.524,0,0,0,0,0,8,0,0,0,
2024,10000.0,Evergy Metro,KS,SWPP,6718.519,2391.562,,,9110.081,4.247,1.057,,,5.304,96900.805,28936.221,,,125837.026,4.247,1.057,,,5.304,1016.15,751.85,,,1768,351.36,477.39,,,828.75,1016.15,751.85,,,1768,351.36,477.39,,,828.75,14.4,12.1,,,www.evergy.com
2024,10000.0,Evergy Metro,MO,SWPP,9822.981,25013.391,,,34836.372,3.219,5.237,,,8.456,156043.377,288809.924,,,444853.301,3.219,5.237,,,8.456,3608.81,3143.46,,,6752.27,1988.98,1426.67,,,3415.65,3608.81,3143.46,,,6752.27,1988.98,1426.67,,,3415.65,15.9,11.5,,,www.evergy.com
2024,10005.0,"Evergy Kansas South, Inc",KS,SWPP,2535.936,2349.559,,,4885.495,1.951,0.93,,,2.881,31298.522,28077.344,,,59375.866,1.951,0.93,,,2.881,1094.81,762.42,,,1857.23,436.99,601.93,,,1038.92,1094.81,762.42,,,1857.23,436.99,601.93,,,1038.92,12.3,12,,,
2024,10066.0,K C Electric Association,CO,WACM,281.16,63.58,,,344.74,0.06,0.01,,,0.07,4246.11,763.01,,,5009.12,0.05,0.01,,,0.06,53.276,0.648,,,53.924,,,,,,53.276,0.648,,,53.924,,,,,,15.57,12,,,
2024,10071.0,Kauai Island Utility Cooperative,HI,NA,806.7,669.607,446.196,0,1922.503,0.405,0.397,0.089,0,0.891,14127.88,11035.09,7353.28,0,32516.25,0.576,0.397,0.089,0,1.062,147.312,122.277,81.48,0,351.069,78.569,65.217,43.457,0,187.243,147.312,122.277,81.48,0,351.069,78.569,65.217,43.457,0,187.243,17.51,8.59,5.72,0,
2024,10171.0,Kentucky Utilities Co,KY,LGEE,1476.788,14155.973,,,15632.761,1.498,11.858,,,13.356,28703.164,283119.469,,,311822.633,1.498,11.858,,,13.356,1077.282,480.095,,,1557.377,4405.33,2210.925,,,6616.255,1077.282,480.095,,,1557.377,4405.33,2210.925,,,6616.255,19,20,,,
2024,10376.0,Kissimmee Utility Authority,FL,,413.703,39.084,34,0,486.787,0.081,0.14,0.139,0,0.36,5859.192,474.053,408,0,6741.245,0.081,0.14,0.139,0,0.36,36.78,29.231,1.999,0,68.01,0,0,0,0,0,36.78,29.231,1.999,0,68.01,238.216,12.011,2.002,0,252.229,14.163,12.129,12,,
2024,10393.0,PUD No 1 of Klickitat County,WA,BPAT,212.553,73.307,53.233,,339.093,,,,,,3939.882,879.684,532.33,,5351.896,,,,,,463.68,7.187,28.1,,498.967,,,,,,463.68,7.187,28.1,,498.967,,,,,,18.536,12,10,,
2024,10454.0,Kootenai Electric Cooperative,ID,AVA,221.148,715.926,474.081,0,1411.155,0.07,0.124,0.027,0,0.221,3645.299,8591.108,4424.752,0,16661.159,0.07,0.124,0.027,0,0.221,100.51,74.416,115.59,0,290.516,11.636,37.671,24.945,0,74.252,100.51,74.416,115.59,0,290.516,11.636,37.671,24.945,0,74.252,16.484,12,9.333,0,
2024,10539.0,"La Plata Electric Assn, Inc",CO,WACM,3025.63,430.97,,,3456.6,2.37,0.16,,,2.53,45731.59,5498.72,,,51230.31,2.31,0.16,,,2.47,829.232,57.363,,,886.595,246.8,3,,,249.8,829.232,57.363,,,886.595,246.8,3,,,249.8,15.53,14.35,,,
2024,10623.0,City of Lakeland - (FL),FL,FMPP,1969.602,485.609,0,0,2455.211,1.183,0.187,0,0,1.37,21955.332,2914.077,0,0,24869.409,1.207,0.188,0,0,1.395,422.164,28.016,0,0,450.18,0,0,0,0,0,422.164,28.016,0,0,450.18,0,0,0,0,0,14.326,14.326,,,
2024,10627.0,Lakeview Light & Power,WA,BPAT,28,353,406,,787,0.005,0.065,0.074,,0.144,629,4255,4867,,9751,0.005,0.065,0.074,,0.144,8.7,73,69,,150.7,,,,,,8.7,73,69,,150.7,,,,,,22.56,12.05,12,,
2024,10681.0,Lane Electric Coop Inc,OR,BPAT,347,62,,,409,0.063,0.011,,,0.074,5502,742,,,6244,0.063,0.011,,,0.074,234,18,,,252,,,,,,234,18,,,252,,,,,,15.85,12,,,
2024,10704.0,City of Lansing - (MI),MI,MISO,5951,22900,6211,,35062,1,4,6,,11,63078,297705,80741,,441524,1,5,8,,14,870,1153,290,,2313,527,1012,275,,1814,870,1153,290,,2313,527,1012,275,,1814,10.6,13,13,,https://www.lbwl.com/energysavers
2024,10857.0,"Lee County Electric Coop, Inc - (FL)",FL,FPL,35317.2,,,,35317.2,0,,,,0,282537.6,,,,282537.6,0,,,,0,0,,,,0,110.07,,,,110.07,0,,,,0,110.07,,,,110.07,8,,,,
2024,10868.0,City of Leesburg - (FL),FL,FPC,303.432,,,,303.432,0.061,,,,0.061,3699.404,,,,3699.404,0.061,,,,0.061,78.759,,,,78.759,,,,,,78.759,,,,78.759,,,,,,12.25,,,,
2024,10879.0,Lehi City Corporation,UT,PACE,38.887,,,,38.887,,,,,,441.829,,,,441.829,,,,,,2.885,,,,2.885,,,,,,2.885,,,,2.885,,,,,,12.47,,,,
2024,10944.0,PUD No 1 of Lewis County,WA,BPAT,773.18,974.71,3750.49,,5498.38,0.18,1.14,0.875,,2.195,15151.07,12028.09,32117.35,,59296.51,0.18,1.14,0.875,,2.195,1218.63,334.56,204.86,,1758.05,313.29,86.01,52.67,,451.97,1218.63,334.56,204.86,,1758.05,313.29,86.01,52.67,,451.97,19.6,12.34,8.56,,
2024,10967.0,City of Lexington - (NE),NE,SWPP,381.856,9.141,0,,390.997,0.081,0.001,0,,0.082,5724.031,100.551,0,,5824.582,0.081,0.001,0,,0.082,223.607,0.425,0,,224.032,69.914,0.423,0,,70.337,223.607,0.425,0,,224.032,69.914,0.423,0,,70.337,14.99,11,0,,
2024,11018.0,Lincoln Electric System,NE,SWPP,783,623,1920,0,3326,1,0.3,0.5,0,1.8,9396,7476,23040,0,39912,1,0.3,0.5,0,1.8,1464,92,263,0,1819,54.7,54.7,54.7,0,164.1,1464,92,263,0,1819,54.7,54.7,54.7,0,164.1,12,12,12,0,
2024,11053.0,Linn County REC,IA,MISO,406.004,361.563,,,767.567,0.178,0.201,,,0.379,8103.16,6506.83,,,14609.99,0.178,0.201,,,0.379,253.611,91.903,,,345.514,19.231,2.2,,,21.431,253.611,91.903,,,345.514,19.231,2.2,,,21.431,19.1,17.66,,,
2024,11124.0,City of Lodi - (CA),CA,CISO,295.668,359.115,3168.518,,3823.301,0.09,0.059,0.338,,0.487,3381.221,4487.882,47527.77,,55396.873,0.089,0.059,0.338,,0.486,228.783,56.06,131.659,,416.502,100.101,4.643,0.516,,105.26,228.783,56.06,131.659,,416.502,100.101,4.643,0.516,,105.26,13.416,12.597,15,,
2024,11135.0,City of Logan - (UT),UT,PACE,10.891,12.747,,,23.638,0.007,0.049,,,0.056,669.877,309.99,,,979.867,0.018,0.149,,,0.167,3.04,10.411,,,13.451,0.961,5.448,,,6.409,3.04,10.411,,,13.451,0.961,5.448,,,6.409,20,10,0,0,
2024,11171.0,Long Island Power Authority,NY,NYIS,149595.252,74580.791,,,224176.043,1.725,14.66,,,16.385,2039689.149,1193292.653,,,3232981.802,1.725,14.66,,,16.385,30507.042,21988.39,,,52495.432,17679.763,12766.8,,,30446.563,30507.042,21988.39,,,52495.432,17679.763,12766.8,,,30446.563,13.635,16,,,www.psegliny.com
2024,11187.0,City of Longmont,CO,PSCO,589.791,4335.09,,,4924.881,0.07,0.426,,,0.496,8097,49534,,,57631,0.07,0.426,,,0.496,548.11,1305.766,,,1853.876,544.715,506.629,,,1051.344,548.11,1305.766,,,1853.876,544.715,506.629,,,1051.344,13.728,11.426,,,https://www.prpa.org/financial-information/   
2024,11208.0,Los Angeles Department of Water & Power,CA,LDWP,14223.615,85505.118,0,,99728.733,15.906,12.369,0,,28.275,221930.819,1056445.893,0,,1278376.712,15.906,12.369,0,,28.275,9330.014,45450.616,0,,54780.63,39190.282,27119.363,0,,66309.645,9330.014,45450.616,0,,54780.63,39190.282,27119.363,0,,66309.645,18.065,12.82,0,,
2024,11241.0,Entergy Louisiana LLC,LA,MISO,44899.512,32553.735,,,77453.247,7.598,4.035,,,11.633,666829.079,422467.894,,,1089296.973,7.598,4.035,,,11.633,7170.039,4717.256,,,11887.295,2646.927,3329.933,,,5976.86,7170.039,4717.256,,,11887.295,2646.927,3329.933,,,5976.86,14.93,12.95,,,
2024,11249.0,Louisville Gas & Electric Co,KY,LGEE,755,22584,0,0,23339,2.3,0,0,0,2.3,13832,451858,0,0,465690,2.3,0,0,0,2.3,947,832,0,0,1779,4909,1728,0,0,6637,947,832,0,0,1779,4909,1728,0,0,6637,18,20,,,https://lge-ku.com/residential-energy-efficiency
2024,11251.0,Loup River Public Power Dist,NE,SWPP,687.955,479.965,120.649,,1288.569,0.149,0.107,0,,0.256,8298.846,5513.511,1166.153,,14978.51,0.149,0.107,0,,0.256,217.05,32.036,5.08,,254.166,46.341,30.234,3.597,,80.172,217.05,32.036,5.08,,254.166,46.341,30.234,3.597,,80.172,12.063,11.487,9.666,,
2024,11256.0,City of Loveland - (CO),CO,PSCO,1333,3676,,,5009,0.349,0.587,,,0.936,9227,48794,,,58021,0.349,0.587,,,0.936,373.5,1187.3,,,1560.8,487.65,335.5,,,823.15,373.5,1187.3,,,1560.8,487.7,335.5,823.15,,1646.35,6.9,13.3,,,
2024,11291.0,Lumbee River Elec Member Corp,NC,CPLE,2991.5,,,,2991.5,,,,,,5143.5,,,,5143.5,,,,,,0.5,,,,0.5,0,,,,0,0.5,,,,0.5,0,,,,0,0.6,,,,
2024,11475.0,City of Madison - (SD),SD,MISO,5.07,,,,5.07,0.01,,,,0.01,1623,,,,1623,0.01,,,,0.01,1.42,,,,1.42,0,,,,0,69.045,,,,69.045,0,,,,0,8.47,,,,
2024,11501.0,Magic Valley Electric Coop Inc,TX,ERCO,45,,,,45,2.5,,,,2.5,195,,,,195,2.5,,,,2.5,10,,,,10,,,,,,10,,,,10,,,,,,10,,,,
2024,11571.0,Manitowoc Public Utilities,WI,MISO,37,,,,37,0.038,,,,0.038,37,,,,37,0.038,,,,0.038,16.5,,,,16.5,11,,,,11,16.5,,,,16.5,11,,,,11,1,,,,
2024,11646.0,City of Marietta - (GA),GA,SOCO,87.14,,,,87.14,0.02,,,,0.02,926.63,,,,926.63,0.03,,,,0.03,4.98,,,,4.98,4.62,,,,4.62,0,,,,0,49.15,,,,49.15,11.73,,,,
2024,11701.0,City of Marquette - (MI),MI,MISO,60,0,0,0,60,0.001,0,0,0,0.001,90,0,0,0,90,0.001,0,0,0,0.001,1.64,0,0,0,1.64,8.29,0,0,0,8.29,1.64,0,0,0,1.64,8.29,0,0,0,8.29,9.33,0,0,0,
2024,11731.0,City of Marshall - (MN),MN,MISO,73.561,292.811,223.85,0,590.222,0.039,0.105,0.045,0,0.189,713.481,5412.611,2122.153,0,8248.245,0.039,0.105,0.045,0,0.189,31.802,34.05,11.444,0,77.296,11.962,13.232,4.485,0,29.679,31.802,34.05,11.444,0,77.296,11.962,13.232,4.485,0,29.679,9.7,18.48,9.48,0,
2024,11804.0,Massachusetts Electric Co,MA,ISNE,59042,110700.6,52094,,221836.6,12.105,13.996,6.587,,32.688,133421,944068.48,444267.52,,1521757,12.105,13.996,6.587,,32.688,223.354,62.495,11.029,,296.878,64.691,27.955,4.933,,97.579,223.354,62.495,11.029,,296.878,64.691,27.955,4.933,,97.579,2.26,8.528,8.528,,
