utility_characteristics_year,state,utility_number,utility_name,ba_code,number_and_capacity_mw_number_of_generators,number_and_capacity_mw_total_capacity,number_and_capacity_mw_capacity_back_up_only,number_and_capacity_mw_capacity_utility_owned,photovoltaic_mw_type,photovoltaic_mw_residential,photovoltaic_mw_commercial,photovoltaic_mw_industrial,photovoltaic_mw_transportation,photovoltaic_mw_direct_connected,photovoltaic_mw_total,battery_mw_residential,battery_mw_commercial,battery_mw_industrial,battery_mw_transportation,battery_mw_direct_connected,battery_mw_total,battery_energy_mwh_residential,battery_energy_mwh_commercial,battery_energy_mwh_industrial,battery_energy_mwh_transportation,battery_energy_mwh_direct_connected,battery_energy_mwh_total,wind_mw_residential,wind_mw_commercial,wind_mw_industrial,wind_mw_transportation,wind_mw_direct_connected,wind_mw_total,hydroelectric_mw_residential,hydroelectric_mw_commercial,hydroelectric_mw_industrial,hydroelectric_mw_transportation,hydroelectric_mw_direct_connected,hydroelectric_mw_total,fuel_cells_mw_residential,fuel_cells_mw_commercial,fuel_cells_mw_industrial,fuel_cells_mw_transportation,fuel_cells_mw_direct_connected,fuel_cells_mw_total,internal_combustion_mw_residential,internal_combustion_mw_commercial,internal_combustion_mw_industrial,internal_combustion_mw_transportation,internal_combustion_mw_direct_connected,internal_combustion_mw_total,combustion_turbine_mw_residential,combustion_turbine_mw_commercial,combustion_turbine_mw_industrial,combustion_turbine_mw_transportation,combustion_turbine_mw_direct_connected,combustion_turbine_mw_total,steam_mw_residential,steam_mw_commercial,steam_mw_industrial,steam_mw_transportation,steam_mw_direct_connected,steam_mw_total,other_mw_residential,other_mw_commercial,other_mw_industrial,other_mw_transportation,other_mw_direct_connected,other_mw_total,total_mw_residential,total_mw_commercial,total_mw_industrial,total_mw_transportation,total_mw_direct_connected,total_mw_total
2024,CA,14354.0,PacifiCorp,PACW,2,0.111,,,,,,,,,0.0,,,,,,0,,,,,,0,,,,,,0,,,,,0.036,0.036,,,,,,0,,,,,,0,,,,,,0,,,,,0.075,0.075,,,,,,0,0,0,0,0,0.111,0.111
2024,CA,14401.0,City of Palo Alto - (CA),CISO,28,12.06,12.06,12.06,,,,,,,0.0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,12.06,,,,12.06,,,,,,0,,,,,,0,,,,,,0,0,12.06,0,0,0,12.06
2024,CA,14534.0,City of Pasadena - (CA),CISO,18,8.214,,,AC,,2.374,,,,2.374,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,5.84,,,,5.84,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,8.214,0,0,0,8.214
2024,CA,16088.0,City of Riverside - (CA),CISO,6,1.1,,0.1,AC,,0.2,,,,0.2,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,0.8,,,,0.8,,0.1,,,,0.1,,,,,,0,,,,,,0,0,1.1,0,0,0,1.1
2024,CA,16534.0,Sacramento Municipal Util Dist,BANC,18,3.214,0.317,1.39,AC,,1.597,,,,1.597,,0.317,,,,0.317,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,1.3,,,,1.3,,0,,,,0,,0,,,,0,,0,,,,0,0,3.214,0,0,0,3.214
2024,CA,16609.0,San Diego Gas & Electric Co,CISO,3270,61.354,61.354,4.709,AC,0.021,12.152,0,0,0,12.173,1.751,39.929,0,0,0,41.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1.118,0,0,0,1.118,0,0.6,0,0,0,0.6,0.01,4.255,0,0,0,4.265,0,0,0,0,0,0,0,0.275,0,0,0,0.275,0,1.243,0,0,0,1.243,1.782,59.572,0,0,0,61.354
2024,CA,16655.0,City of Santa Clara - (CA),CISO,3,0.294,,,,,,,,,0.0,,0.28,,,,0.28,,,,,,0,,0.014,,,,0.014,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,0.294,0,0,0,0.294
2024,CA,17609.0,Southern California Edison Co,CISO,1832,384.164,61.031,3.58,AC,0,58.541,0,0,20.704,79.245,0,171.382,0,0,1.63,173.012,0,561.26,0,0,3,564.26,0,0.454,0,0,0,0.454,0,0.493,0,0,6.246,6.739,0,7.399,0,0,0.225,7.624,0,83.151,0,0,0.8,83.951,0,31.328,0,0,0,31.328,0,0,0,0,0,0,0,1.542,0,0,0.269,1.811,0,354.29,0,0,29.874,384.164
2024,CA,55787.0,City of Moreno Valley - (CA),CISO,2,0.7,0,0.7,AC,0,0,0,0,0.625,0.625,0,0,0,0,0.075,0.075,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7
2024,CA,99999.0,State Adjustment,CISO,,1.104,,,,0.302,0.183,0.619,,,1.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,0.183,0.619,,,1.104
2024,CO,3989.0,City of Colorado Springs - (CO),WACM,2,0.205,0,0,AC,,,,,,0.0,,,,,,0,,,,,,0,,,,,,0,,0.075,,,,0.075,,,,,,0,,0.13,,,,0.13,,,,,,0,,,,,,0,,,,,,0,0,0.205,0,0,0,0.205
2024,CO,5086.0,Delta Montrose Electric Assn,WACM,3,0.19,,,DC,0.19,,,,,0.19,,,,,,0,0.19,,,,,0.19,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0.19,0,0,0,0,0.19
2024,CO,5862.0,"Empire Electric Assn, Inc",WACM,1,0.01,,0.01,AC,,,,,0.01,0.01,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,0,0,0,0.01,0.01
2024,CO,6604.0,City of Fort Collins - (CO),PSCO,16,4.869,,,DC,,,,,4.869,4.869,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,0,0,0,4.869,4.869
2024,CO,7563.0,Grand Valley Power,PSCO,1,0.22,,0.22,DC,,,,,0.22,0.22,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,0,0,0,0.22,0.22
