data_year,utility_number,utility_name,short_form,state,ba_code,number_of_customers_enrolled_residential,number_of_customers_enrolled_commercial,number_of_customers_enrolled_industrial,number_of_customers_enrolled_transportation,number_of_customers_enrolled_total,types_of_program_time_of_use_pricing_residential,types_of_program_time_of_use_pricing_commercial,types_of_program_time_of_use_pricing_industrial,types_of_program_time_of_use_pricing_transportation,types_of_program_real_time_pricing_residential,types_of_program_real_time_pricing_commercial,types_of_program_real_time_pricing_industrial,types_of_program_real_time_pricing_transportation,types_of_program_variable_peak_pricing_residential,types_of_program_variable_peak_pricing_commercial,types_of_program_variable_peak_pricing_industrial,types_of_program_variable_peak_pricing_transportation,types_of_program_critical_peak_pricing_residential,types_of_program_critical_peak_pricing_commercial,types_of_program_critical_peak_pricing_industrial,types_of_program_critical_peak_pricing_transportation,types_of_program_critical_peak_rebate_residential,types_of_program_critical_peak_rebate_commercial,types_of_program_critical_peak_rebate_industrial,types_of_program_critical_peak_rebate_transportation
2024,1776,City of Black River Falls,,WI,MISO,75,119,1,0,195,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,1866,Bloomer Electric & Water Co,Y,WI,MISO,1,13,,,14,,,,,,,,,,,,,,,,,,,,
2024,1884,BENCO Electric Cooperative,,MN,MISO,49,1,1,,51,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,1886,Blue Grass Energy Coop Corp,,KY,PJM,19,49,,,68,Y,Y,,,,,,,,,,,,,,,,,,
2024,1889,Blue Ridge Elec Member Corp - (NC),,NC,DUK,50,11,,,61,Y,Y,,,,,,,,,,,,,,,,,,
2024,1891,Blue Ridge Mountain EMC - (GA),,GA,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2024,1891,Blue Ridge Mountain EMC - (GA),,NC,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,1997,City of Boscobel - (WI),,WI,MISO,0,7,1,0,8,,Y,Y,,,,,,,,,,,,,,,,,
2024,2001,Boone Electric Coop,,MO,AECI,256,2,1,,259,Y,,,,,,,,,,,,,Y,Y,,,,,
2024,2008,City of Boulder City - (NV),,NV,WALC,0,2,0,0,2,,Y,,,,,,,,,,,,,,,,,,
2024,2056,City of Bowling Green - (KY),,KY,TVA,0,4,2,0,6,,Y,Y,,,,,,,,,,,,,,,,,
2024,2192,Bremen Electric Light & Power Co,Y,IN,MISO,,,1,,1,,,,,,,,,,,,,,,,,,,,
2024,2212,"Broad River Electric Coop, Inc",,NC,DUK,482,,,,482,,,,,,,,,Y,,,,,,,,,,,
2024,2247,City of Bristol - (TN),,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2024,2248,Bristol Virginia Utilities,,VA,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2024,2273,Brodhead Water & Lighting Comm,,WI,MISO,1,49,1,0,51,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,2316,Brown County Rural Elec Assn,Y,MN,MISO,6,,,,6,,,,,,,,,,,,,,,,,,,,
2024,2411,City of Brownsville,,TN,TVA,0,2,3,0,5,,Y,Y,,,,,,,,,,,,,,,,,
2024,2439,City of Bryan - (OH),Y,OH,PJM,,4,7,,11,,,,,,,,,,,,,,,,,,,,
2024,2442,City of Bryan - (TX),,TX,ERCO,,28,2,,30,,Y,Y,,,,,,,,,,,,,,,,,
2024,2507,City of Burbank Water and Power,,CA,LDWP,570,5301,,,5871,Y,Y,,,,,,,,,,,,,,,,,,
2024,2548,City of Burlington Electric - (VT),,VT,ISNE,359,25,9,0,393,Y,Y,Y,,,,,,Y,Y,,,,,,,,,,
2024,2641,"Butler Rural El Coop Assn, Inc - (KS)",Y,KS,SWPP,6857,937,11,,7805,,,,,,,,,,,,,,,,,,,,
2024,2651,Butler Rural Electric Coop Inc - (OH),,OH,PJM,,2,6,,8,,,,,,,,,,,,,,,Y,,,Y,Y,
2024,2655,"Butte Electric Coop, Inc",Y,SD,WACM,16,2,,,18,,,,,,,,,,,,,,,,,,,,
2024,2830,Calpine Power America LLC,,ME,ISNE,,,1,,1,,,,,,,Y,,,,,,,,,,,,,
2024,2830,Calpine Power America LLC,,TX,ERCO,,,1,,1,,,,,,,Y,,,,,,,,,,,,,
2024,2849,Central Electric Power Assn - (MS),,MS,TVA,0,1,5,0,6,,Y,Y,,,,,,,,,,,,,,,,,
2024,2960,"Caney Fork Electric Coop, Inc",,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2024,2985,"Capital Electric Coop, Inc",,ND,SWPP,19530,2935,61,,22526,Y,,,,,,,,,,,,Y,Y,Y,,,,,
2024,2998,"Carbon Power & Light, Inc",Y,WY,WACM,454,65,,,519,,,,,,,,,,,,,,,,,,,,
2024,3046,Duke Energy Progress - (NC),,NC,CPLE,29622,21744,1294,0,52660,Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2024,3046,Duke Energy Progress - (NC),,SC,CPLE,1832,2915,239,0,4986,Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2024,3075,Carroll County - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,3107,Carteret-Craven El Member Corp,,NC,CPLE,76,,,,76,Y,,,,,,,,,,,,,,,,,,,
2024,3108,City of Cartersville - (GA),,GA,SOCO,,,4,,4,,,Y,,,,,,,,,,,,,,,,,
2024,3208,Cedarburg Light & Water Comm,,WI,MISO,64,63,1,0,128,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,3222,Central Alabama Electric Coop,,AL,SOCO,,,2,,2,,,,,,,,,,,,,,,Y,,,,,
2024,3226,"Central Rural Electric Cooperative, Inc",,OK,AECI,,2,,,2,,Y,,,,,,,,,,,,,,,,,,
2024,3245,"Central Florida Elec Coop, Inc",,FL,SEC,2,4,359,,365,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,3248,Central Georgia El Member Corp,,GA,SOCO,5,,5,,10,Y,,,,,,Y,,,,,,,,,,,,,
2024,3249,Central Hudson Gas & Elec Corp,,NY,NYIS,1399,248,49,,1696,Y,,,,,Y,Y,,,,,,,,,,,,,
2024,3250,Central Electric Membership Corp. - (NC),,NC,CPLE,3,,,,3,Y,,,,,,,,,,,,,,,,,,,
2024,3265,Cleco Power LLC,,LA,MISO,3035,71,,,3106,Y,Y,,,,,,,,,,,,,,,,,,
2024,3266,Central Maine Power Co,,ME,ISNE,4961,876,150,0,5987,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,3273,"Central New Mexico El Coop, Inc",,NM,PNM,2081,12,,,2093,Y,Y,,,,,,,,,,,,,,,,,,
2024,3293,Central Wisconsin Elec Coop,Y,WI,MISO,82,53,0,,135,,,,,,,,,,,,,,,,,,,,
2024,3329,Borough of Chambersburg,,PA,PJM,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,3400,City of Chaska - (MN),,MN,MISO,41,0,,,41,Y,,,,,,,,,,,,,,,,,,,
2024,3408,City of Chattanooga - (TN),,GA,TVA,4,0,1,0,5,Y,,Y,,,,,,,,,,,,,,,,,
2024,3408,City of Chattanooga - (TN),,TN,TVA,89,26,57,0,172,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,3413,PUD No 1 of Chelan County,,WA,CHPD,,,27,,27,,,Y,,,,Y,,,,,,,,,,,,,
2024,3426,Cherokee Electric Coop - (AL),,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,3498,Chippewa Valley Electric Coop,Y,WI,MISO,,35,12,,47,,,,,,,,,,,,,,,,,,,,
2024,3502,"Choctawhatche Elec Coop, Inc",,FL,SOCO,745,75,0,0,820,Y,Y,,,,,,,,Y,,,,,,,,,,
2024,3503,"Choptank Electric Cooperative, Inc",,MD,PJM,,5,3,,8,,Y,Y,,,,,,,,,,,,,,,,,
2024,3542,Duke Energy Ohio Inc,,OH,PJM,17,892,87,,996,Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2024,3701,Clark Electric Coop - (WI),Y,WI,MISO,198,,,,198,,,,,,,,,,,,,,,,,,,,
2024,3704,City of Clarksville - (TN),,TN,TVA,0,4,2,0,6,,Y,Y,,,,,,,,,,,,,,,,,
2024,3722,Clarke Electric Coop Inc - (IA),Y,IA,MISO,,2,,,2,,,,,,,,,,,,,,,,,,,,
2024,3731,Town of Clayton - (NC),Y,NC,CPLE,0,6,0,0,6,,,,,,,,,,,,,,,,,,,,
2024,3755,Cleveland Electric Illum Co,,OH,PJM,57,0,0,0,57,Y,,,,,,,,,,,,Y,,,,,,,
2024,3758,City of Cleveland - (TN),,TN,TVA,0,3,4,0,7,,Y,Y,,,,,,,,,,,,,,,,,
2024,3812,City of Clinton - (TN),,TN,TVA,0,0,10,0,10,,,Y,,,,,,,,,,,,,,,,,
2024,3814,City of Clintonville - (WI),Y,WI,MISO,6,3,13,,22,,,,,,,,,,,,,,,,,,,,
2024,3841,Coast Electric Power Assn - (MS),,MS,SOCO,28335,117,2,,28454,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,3843,Coastal Electric Member Corp - (GA),,GA,SOCO,119,,,,119,Y,,,,,,,,,,,,,,,,,,,
