utility_characteristics_year,state,utility_number,utility_name,ba_code,photovoltaic_capacity_mw_type,photovoltaic_capacity_mw_residential,photovoltaic_capacity_mw_commercial,photovoltaic_capacity_mw_industrial,photovoltaic_capacity_mw_transportation,photovoltaic_capacity_mw_total,photovoltaic_installations_residential,photovoltaic_installations_commercial,photovoltaic_installations_industrial,photovoltaic_installations_transportation,photovoltaic_installations_total
2024,TX,57313.0,Tesla Inc.,EPE,DC,5.935,0.644,,,6.579,1126,2,,,1128
2024,TX,57313.0,Tesla Inc.,ERCO,DC,55.603,15.76,,,71.363,6138,1269,,,7407
2024,TX,59579.0,Sunnova,EPE,DC,1.903,,,,1.903,242,,,,242
2024,TX,59579.0,Sunnova,ERCO,DC,46.883,,,,46.883,5953,,,,5953
2024,TX,59579.0,Sunnova,MISO,DC,1.982,,,,1.982,251,,,,251
2024,TX,59579.0,Sunnova,SWPP,DC,4.127,,,,4.127,524,,,,524
2024,TX,59647.0,Sunrun Inc.,ERCO,DC,114.086,,,,114.086,11851,,,,11851
2024,TX,60981.0,"TerraForm US Energy Services, LLC",ERCO,AC,,0.7,,,0.7,,2,,,2
2024,TX,66026.0,"Palmetto Solar, LLC",ERCO,DC,20.438,,,,20.438,1949,,,,1949
2024,TX,66036.0,"EverBright, LLC",ERCO,AC,29.094,,,,29.094,4177,,,,4177
2024,TX,99999.0,Adjustment 2024,EPE,,-1.367,-0.112,,,-1.479,,,,,
2024,TX,99999.0,Adjustment 2024,ERCO,,-41.335,-2.749,,,-44.083,,,,,
2024,TX,99999.0,Adjustment 2024,MISO,,-0.346,,,,-0.346,,,,,
2024,TX,99999.0,Adjustment 2024,SWPP,,-0.72,,,,-0.72,,,,,
2024,UT,57313.0,Tesla Inc.,PACE,DC,0.008,2.707,,,2.715,1,4,,,5
2024,UT,59579.0,Sunnova,BPAT,DC,0.02,,,,0.02,2,,,,2
2024,UT,59647.0,Sunrun Inc.,PACE,DC,4.694,,,,4.694,751,,,,751
2024,UT,99999.0,Adjustment 2024,BPAT,,-0.003,,,,-0.003,,,,,
2024,UT,99999.0,Adjustment 2024,PACE,,-0.82,-0.472,,,-1.292,,,,,
2024,VA,57313.0,Tesla Inc.,PJM,DC,0.26,0.252,,,0.512,66,2,,,68
2024,VA,59579.0,Sunnova,PJM,DC,0.043,,,,0.043,4,,,,4
2024,VA,99999.0,Adjustment 2024,PJM,,-0.053,-0.044,,,-0.097,,,,,
2024,VI,59579.0,Sunnova,NA,DC,0.76,,,,0.76,102,,,,102
2024,VI,99999.0,Adjustment 2024,NA,,-0.133,,,,-0.133,,,,,
2024,VT,57313.0,Tesla Inc.,ISNE,DC,10.786,0,,,10.786,1588,0,,,1588
2024,VT,59580.0,"SunPower Capital, LLC",ISNE,AC,1.87,,,,1.87,331,,,,331
2024,VT,59622.0,"Ahana Renewables, LLC",ISNE,DC,0,1.331,0,0,1.331,0,2,0,0,2
2024,VT,59647.0,Sunrun Inc.,ISNE,DC,21.6,,,,21.6,2585,,,,2585
2024,VT,60025.0,Greenbacker Renewable Energy Corporation,ISNE,AC,0,13.16,0,0,13.16,0,25,0,0,25
2024,VT,60981.0,"TerraForm US Energy Services, LLC",ISNE,AC,,1.805,,,1.805,,2,,,2
2024,VT,99999.0,Adjustment 2024,ISNE,,-5.648,-0.232,0,0,-5.88,,,,,
2024,WA,57313.0,Tesla Inc.,PSEI,DC,0.628,0,,,0.628,99,0,,,99
2024,WA,99999.0,Adjustment 2024,PSEI,,-0.11,0,,,-0.11,,,,,
"Note: Capacity reported from TPOs are separated because their capacity is included at the utility level.
Data is reported as collected.
Adjustments remove capacity lost in conversion from DC to AC.
Source: U.S. Energy Information Administration, Form EIA-861, 'Annual Electric Power Industry Report.'",,,,,,,,,,,,,,,
